count,latency,loop
0,8490,0
1,8091,0
2,13888,0
3,9742,0
4,8440,0
5,10086,0
6,5482,0
7,8660,0
8,4750,0
9,13999,0
0,4931,1
1,12331,1
2,15262,1
3,5039,1
4,4471,1
5,8795,1
6,5632,1
7,9204,1
8,6889,1
9,8901,1
0,11150,2
1,13312,2
2,6083,2
3,10092,2
4,6035,2
5,8489,2
6,13566,2
7,9352,2
8,4952,2
9,9411,2
0,8295,3
1,10958,3
2,11161,3
3,5361,3
4,15014,3
5,5510,3
6,20633,3
7,9138,3
8,10404,3
9,5374,3
0,12776,4
1,2077,4
2,5595,4
3,6080,4
4,5863,4
5,3658,4
6,3012,4
7,18847,4
8,17577,4
9,3130,4
0,14552,5
1,7435,5
2,2705,5
3,1287,5
4,22908,5
5,4535,5
6,18037,5
7,6185,5
8,8830,5
9,8784,5
0,13981,6
1,14509,6
2,22194,6
3,10382,6
4,10242,6
5,10650,6
6,15608,6
7,10997,6
8,11135,6
9,6783,6
0,9564,7
1,9236,7
2,7819,7
3,14911,7
4,8522,7
5,8712,7
6,8961,7
7,9456,7
8,8752,7
9,10292,7
0,1307,8
1,10515,8
2,8194,8
3,8373,8
4,3543,8
5,5176,8
6,4608,8
7,7321,8
8,13125,8
9,4579,8
0,12499,9
1,4535,9
2,9557,9
3,10664,9
4,9406,9
5,6824,9
6,12122,9
7,18546,9
8,10738,9
9,12095,9
0,8196,10
1,16041,10
2,15449,10
3,3467,10
4,3100,10
5,3861,10
6,3495,10
7,9709,10
8,5056,10
9,7667,10
0,10230,11
1,17440,11
2,16832,11
3,18127,11
4,6970,11
5,4585,11
6,7215,11
7,8899,11
8,18944,11
9,7824,11
0,6884,12
1,15490,12
2,9195,12
3,8651,12
4,7892,12
5,8034,12
6,6438,12
7,6911,12
8,13061,12
9,7726,12
0,6920,13
1,9237,13
2,8002,13
3,11215,13
4,10406,13
5,4688,13
6,10971,13
7,9748,13
8,10627,13
9,12234,13
0,6593,14
1,4822,14
2,6830,14
3,7661,14
4,3908,14
5,11793,14
6,5932,14
7,8247,14
8,15441,14
9,6850,14
0,5592,15
1,6596,15
2,3266,15
3,6260,15
4,5060,15
5,11151,15
6,12911,15
7,9407,15
8,7548,15
9,5835,15
0,4086,16
1,4944,16
2,9348,16
3,3778,16
4,2974,16
5,4979,16
6,8151,16
7,14839,16
8,4216,16
9,5657,16
0,7419,17
1,5020,17
2,13249,17
3,10699,17
4,20949,17
5,15107,17
6,11519,17
7,4166,17
8,11993,17
9,8466,17
0,6292,18
1,9117,18
2,9091,18
3,6571,18
4,8050,18
5,6335,18
6,6817,18
7,8399,18
8,6907,18
9,6659,18
0,5557,19
1,8930,19
2,4547,19
3,10856,19
4,5849,19
5,5395,19
6,11393,19
7,18533,19
8,14260,19
9,9244,19
0,16391,20
1,8929,20
2,9327,20
3,5579,20
4,13225,20
5,4594,20
6,15389,20
7,10877,20
8,8503,20
9,4803,20
0,6888,21
1,10027,21
2,14450,21
3,31925,21
4,9102,21
5,7358,21
6,9787,21
7,6440,21
8,26233,21
9,7186,21
0,11106,22
1,10390,22
2,15684,22
3,20858,22
4,13001,22
5,13220,22
6,8030,22
7,14999,22
8,15235,22
9,16975,22
0,14612,23
1,11900,23
2,18683,23
3,9310,23
4,5618,23
5,12777,23
6,10468,23
7,12372,23
8,13154,23
9,12628,23
0,13045,24
1,8719,24
2,8934,24
3,8665,24
4,11521,24
5,13077,24
6,4463,24
7,9022,24
8,11453,24
9,10565,24
0,14344,25
1,7113,25
2,13103,25
3,13235,25
4,13894,25
5,15632,25
6,12918,25
7,11643,25
8,17404,25
9,14907,25
0,9367,26
1,8533,26
2,4318,26
3,10254,26
4,9366,26
5,8649,26
6,8276,26
7,13350,26
8,6729,26
9,9660,26
0,6196,27
1,9116,27
2,4605,27
3,5140,27
4,6546,27
5,6068,27
6,9133,27
7,5217,27
8,7778,27
9,7924,27
0,13206,28
1,13723,28
2,14032,28
3,8900,28
4,13471,28
5,15638,28
6,11729,28
7,15626,28
8,7784,28
9,10960,28
0,8516,29
1,5922,29
2,5917,29
3,9522,29
4,9130,29
5,4979,29
6,3995,29
7,6788,29
8,3993,29
9,3562,29
0,7893,30
1,6568,30
2,4707,30
3,14446,30
4,12076,30
5,5759,30
6,5151,30
7,12713,30
8,4478,30
9,6481,30
0,5124,31
1,7864,31
2,10899,31
3,6469,31
4,5276,31
5,7838,31
6,6962,31
7,7171,31
8,3312,31
9,8046,31
0,14467,32
1,7177,32
2,6309,32
3,12220,32
4,4260,32
5,8749,32
6,7017,32
7,9183,32
8,11046,32
9,6196,32
0,16229,33
1,6747,33
2,16733,33
3,8060,33
4,6151,33
5,12727,33
6,5746,33
7,14045,33
8,19041,33
9,13163,33
0,10734,34
1,7574,34
2,10710,34
3,8391,34
4,7644,34
5,10573,34
6,5284,34
7,9195,34
8,9251,34
9,5820,34
0,10048,35
1,7325,35
2,7103,35
3,9180,35
4,14180,35
5,7896,35
6,12805,35
7,5558,35
8,3445,35
9,8311,35
0,11616,36
1,12893,36
2,15675,36
3,10620,36
4,9562,36
5,11798,36
6,7320,36
7,12764,36
8,20437,36
9,16136,36
0,9043,37
1,9916,37
2,3531,37
3,7973,37
4,7039,37
5,6613,37
6,4006,37
7,11226,37
8,6262,37
9,6630,37
0,12322,38
1,8513,38
2,7364,38
3,7809,38
4,6196,38
5,6741,38
6,4011,38
7,16721,38
8,5043,38
9,11401,38
0,15440,39
1,4926,39
2,6880,39
3,3298,39
4,7027,39
5,7910,39
6,4918,39
7,8113,39
8,16714,39
9,7662,39
0,9018,40
1,9024,40
2,5190,40
3,3439,40
4,3232,40
5,2979,40
6,3155,40
7,9419,40
8,11899,40
9,8101,40
0,10014,41
1,2586,41
2,6413,41
3,2494,41
4,3801,41
5,9397,41
6,4796,41
7,3360,41
8,9004,41
9,8582,41
0,5053,42
1,5960,42
2,16037,42
3,5430,42
4,12911,42
5,5492,42
6,4269,42
7,11240,42
8,6756,42
9,7551,42
0,10237,43
1,2794,43
2,4271,43
3,6547,43
4,9887,43
5,10078,43
6,6930,43
7,12662,43
8,4544,43
9,5901,43
0,9618,44
1,9893,44
2,10282,44
3,13839,44
4,5973,44
5,7586,44
6,8928,44
7,8757,44
8,15873,44
9,6214,44
0,20104,45
1,17102,45
2,16613,45
3,21690,45
4,12483,45
5,8832,45
6,9837,45
7,20692,45
8,23117,45
9,9744,45
0,13342,46
1,21750,46
2,7009,46
3,12705,46
4,6594,46
5,10011,46
6,10411,46
7,9491,46
8,18398,46
9,5695,46
0,11490,47
1,10267,47
2,6516,47
3,23200,47
4,6751,47
5,9578,47
6,12837,47
7,11378,47
8,9525,47
9,7322,47
0,3756,48
1,4599,48
2,7919,48
3,10300,48
4,8266,48
5,4725,48
6,3125,48
7,3987,48
8,13349,48
9,5654,48
0,9274,49
1,14718,49
2,5988,49
3,5391,49
4,2451,49
5,7500,49
6,5646,49
7,14064,49
8,6225,49
9,10307,49
0,11843,50
1,10706,50
2,6996,50
3,8950,50
4,11470,50
5,6461,50
6,6871,50
7,8687,50
8,8797,50
9,9798,50
0,6155,51
1,7063,51
2,6515,51
3,8469,51
4,11944,51
5,15335,51
6,4292,51
7,5166,51
8,7563,51
9,7159,51
0,6911,52
1,9876,52
2,6023,52
3,6196,52
4,6396,52
5,6059,52
6,3580,52
7,6291,52
8,9115,52
9,5493,52
0,6884,53
1,11225,53
2,9587,53
3,7936,53
4,2560,53
5,7072,53
6,10031,53
7,5157,53
8,3461,53
9,10270,53
0,9507,54
1,6751,54
2,14319,54
3,14373,54
4,8310,54
5,12775,54
6,12815,54
7,10351,54
8,10633,54
9,9240,54
0,8714,55
1,11942,55
2,12122,55
3,9146,55
4,6544,55
5,6119,55
6,12268,55
7,5827,55
8,11944,55
9,20068,55
0,9912,56
1,11939,56
2,7060,56
3,6691,56
4,8797,56
5,7235,56
6,3459,56
7,10902,56
8,8677,56
9,3453,56
0,5490,57
1,10585,57
2,4331,57
3,7594,57
4,4593,57
5,6234,57
6,5139,57
7,21191,57
8,8893,57
9,3490,57
0,4428,58
1,5209,58
2,4480,58
3,7950,58
4,6691,58
5,7101,58
6,5585,58
7,8662,58
8,5010,58
9,9475,58
0,6404,59
1,3504,59
2,5793,59
3,3866,59
4,6169,59
5,4197,59
6,10298,59
7,5556,59
8,7444,59
9,4898,59
0,14024,60
1,14107,60
2,14381,60
3,14650,60
4,14562,60
5,9295,60
6,17922,60
7,14062,60
8,12192,60
9,7002,60
0,13395,61
1,14660,61
2,14305,61
3,12492,61
4,12128,61
5,11917,61
6,8078,61
7,6048,61
8,15512,61
9,11348,61
0,15464,62
1,10744,62
2,11323,62
3,14555,62
4,16738,62
5,14657,62
6,13878,62
7,11738,62
8,6488,62
9,8770,62
0,8308,63
1,15316,63
2,9454,63
3,7828,63
4,7496,63
5,5122,63
6,15570,63
7,11542,63
8,5006,63
9,2747,63
0,12539,64
1,11621,64
2,11220,64
3,15792,64
4,16594,64
5,14054,64
6,11878,64
7,8877,64
8,4077,64
9,10642,64
0,8127,65
1,6024,65
2,22452,65
3,7331,65
4,7576,65
5,9764,65
6,5074,65
7,9969,65
8,10178,65
9,11571,65
0,9854,66
1,7178,66
2,7091,66
3,6517,66
4,6898,66
5,10177,66
6,9015,66
7,9365,66
8,10335,66
9,8688,66
0,5303,67
1,4972,67
2,9187,67
3,6764,67
4,8348,67
5,7410,67
6,5508,67
7,5598,67
8,5339,67
9,6603,67
0,7163,68
1,3142,68
2,11728,68
3,5070,68
4,5185,68
5,5498,68
6,6313,68
7,7882,68
8,5906,68
9,4984,68
0,9842,69
1,4499,69
2,2381,69
3,7014,69
4,5117,69
5,3881,69
6,4471,69
7,4761,69
8,7692,69
9,4382,69
0,3821,70
1,3109,70
2,7122,70
3,9249,70
4,4161,70
5,6799,70
6,4866,70
7,4378,70
8,2568,70
9,4277,70
0,3135,71
1,3673,71
2,5998,71
3,3134,71
4,3477,71
5,3612,71
6,3119,71
7,3104,71
8,6885,71
9,5339,71
0,20707,72
1,15982,72
2,7580,72
3,9813,72
4,10845,72
5,13875,72
6,8894,72
7,13788,72
8,8739,72
9,5904,72
0,13731,73
1,15813,73
2,8956,73
3,4357,73
4,8608,73
5,23535,73
6,15377,73
7,12145,73
8,5207,73
9,5205,73
0,8000,74
1,6213,74
2,5706,74
3,10379,74
4,6143,74
5,5418,74
6,6339,74
7,7296,74
8,8382,74
9,6272,74
0,6863,75
1,10179,75
2,9859,75
3,6784,75
4,17117,75
5,7539,75
6,8218,75
7,7257,75
8,5602,75
9,10054,75
0,16759,76
1,9669,76
2,8484,76
3,8576,76
4,7336,76
5,14130,76
6,3192,76
7,10726,76
8,7662,76
9,8378,76
0,7461,77
1,6610,77
2,8276,77
3,5997,77
4,4346,77
5,3444,77
6,6010,77
7,8293,77
8,6633,77
9,5435,77
0,11952,78
1,3576,78
2,16698,78
3,11526,78
4,11076,78
5,13732,78
6,8842,78
7,5132,78
8,6207,78
9,10519,78
0,5624,79
1,6839,79
2,10385,79
3,6355,79
4,10723,79
5,11806,79
6,9170,79
7,7425,79
8,11007,79
9,5438,79
0,11719,80
1,13350,80
2,9806,80
3,19155,80
4,15641,80
5,7371,80
6,12109,80
7,9320,80
8,7308,80
9,4656,80
0,3840,81
1,5437,81
2,5393,81
3,9145,81
4,5033,81
5,11290,81
6,9402,81
7,1951,81
8,2429,81
9,7928,81
0,5833,82
1,7197,82
2,19301,82
3,9513,82
4,7872,82
5,6069,82
6,7354,82
7,9347,82
8,8809,82
9,7057,82
0,15384,83
1,5563,83
2,4809,83
3,4880,83
4,6275,83
5,8735,83
6,7381,83
7,6293,83
8,8184,83
9,5834,83
0,4210,84
1,4866,84
2,5075,84
3,2829,84
4,5634,84
5,3624,84
6,8705,84
7,4012,84
8,3886,84
9,6991,84
0,9778,85
1,12365,85
2,6363,85
3,4204,85
4,6775,85
5,3304,85
6,10445,85
7,16586,85
8,4853,85
9,9295,85
0,4563,86
1,6387,86
2,7762,86
3,6898,86
4,14139,86
5,5668,86
6,6023,86
7,10030,86
8,8265,86
9,3285,86
0,6358,87
1,11924,87
2,14476,87
3,5239,87
4,2961,87
5,9083,87
6,12082,87
7,2579,87
8,10003,87
9,16885,87
0,2737,88
1,2088,88
2,4711,88
3,6192,88
4,3793,88
5,3224,88
6,3728,88
7,3521,88
8,2920,88
9,6836,88
0,4595,89
1,7344,89
2,12850,89
3,6991,89
4,23122,89
5,6324,89
6,11566,89
7,13220,89
8,4854,89
9,11196,89
0,5546,90
1,5438,90
2,5858,90
3,8615,90
4,8123,90
5,8125,90
6,14481,90
7,3396,90
8,10040,90
9,12830,90
0,2827,91
1,8176,91
2,7802,91
3,2319,91
4,6958,91
5,19697,91
6,4484,91
7,5625,91
8,8003,91
9,9063,91
0,2651,92
1,5014,92
2,15036,92
3,6508,92
4,3773,92
5,7367,92
6,4938,92
7,8770,92
8,4857,92
9,2458,92
0,4612,93
1,13346,93
2,11559,93
3,10036,93
4,9477,93
5,8826,93
6,10036,93
7,12398,93
8,12305,93
9,12614,93
0,6096,94
1,5233,94
2,5985,94
3,6135,94
4,6179,94
5,5039,94
6,4333,94
7,7400,94
8,5589,94
9,3450,94
0,11432,95
1,8046,95
2,12155,95
3,13275,95
4,11685,95
5,8026,95
6,12640,95
7,10595,95
8,10939,95
9,14018,95
0,7646,96
1,8352,96
2,3644,96
3,8401,96
4,5354,96
5,7484,96
6,8665,96
7,4921,96
8,9067,96
9,7936,96
0,7834,97
1,12727,97
2,11310,97
3,7905,97
4,9617,97
5,6728,97
6,14317,97
7,10591,97
8,11230,97
9,11105,97
0,10363,98
1,8094,98
2,8281,98
3,7373,98
4,13155,98
5,9388,98
6,8449,98
7,6446,98
8,8755,98
9,8198,98
0,10864,99
1,11982,99
2,7873,99
3,4844,99
4,3439,99
5,14106,99
6,5054,99
7,7118,99
8,15572,99
9,11341,99
