count,latency,loop
0,18048,0
1,30764,0
2,34825,0
3,30164,0
4,25025,0
5,29903,0
6,27454,0
7,19908,0
8,32349,0
9,28672,0
0,28330,1
1,37088,1
2,17827,1
3,20906,1
4,25596,1
5,13970,1
6,22560,1
7,24250,1
8,25479,1
9,39521,1
0,14310,2
1,8703,2
2,22555,2
3,18974,2
4,24994,2
5,11987,2
6,28162,2
7,22241,2
8,28241,2
9,21858,2
0,15107,3
1,18368,3
2,18409,3
3,20422,3
4,20897,3
5,16057,3
6,21743,3
7,20254,3
8,16899,3
9,20435,3
0,21692,4
1,23319,4
2,16479,4
3,23064,4
4,12707,4
5,20219,4
6,24159,4
7,21791,4
8,15086,4
9,24948,4
0,15055,5
1,17833,5
2,21055,5
3,20093,5
4,17918,5
5,17947,5
6,20716,5
7,19209,5
8,19375,5
9,22579,5
0,18612,6
1,20357,6
2,22105,6
3,14065,6
4,17894,6
5,9909,6
6,20941,6
7,17864,6
8,20586,6
9,18972,6
0,15850,7
1,13464,7
2,23462,7
3,11284,7
4,13609,7
5,10021,7
6,14111,7
7,11980,7
8,18775,7
9,13069,7
0,34751,8
1,26530,8
2,11738,8
3,34741,8
4,34758,8
5,12373,8
6,25868,8
7,35033,8
8,18113,8
9,16736,8
0,14494,9
1,20845,9
2,23313,9
3,17982,9
4,9545,9
5,9500,9
6,19938,9
7,14215,9
8,14645,9
9,19447,9
0,14187,10
1,18365,10
2,8555,10
3,15195,10
4,14984,10
5,11070,10
6,21464,10
7,11617,10
8,17237,10
9,16240,10
0,16746,11
1,9072,11
2,11635,11
3,12870,11
4,12063,11
5,10508,11
6,8939,11
7,11424,11
8,12367,11
9,9315,11
0,34388,12
1,34249,12
2,35687,12
3,13996,12
4,34388,12
5,16009,12
6,34779,12
7,34051,12
8,34104,12
9,34565,12
0,10774,13
1,22098,13
2,21413,13
3,22900,13
4,15472,13
5,23166,13
6,13136,13
7,21894,13
8,17931,13
9,12563,13
0,18438,14
1,18088,14
2,12037,14
3,25880,14
4,19522,14
5,24776,14
6,27213,14
7,23404,14
8,23513,14
9,26289,14
0,16362,15
1,11398,15
2,14368,15
3,7558,15
4,16965,15
5,14526,15
6,10921,15
7,16040,15
8,12312,15
9,11270,15
0,12577,16
1,14127,16
2,15836,16
3,11873,16
4,10522,16
5,13915,16
6,8818,16
7,10010,16
8,12879,16
9,15096,16
0,7663,17
1,14312,17
2,15268,17
3,8743,17
4,16393,17
5,20384,17
6,17461,17
7,20053,17
8,7969,17
9,18340,17
0,7722,18
1,18145,18
2,10350,18
3,13523,18
4,12658,18
5,12680,18
6,10781,18
7,13348,18
8,13908,18
9,14400,18
0,27410,19
1,25790,19
2,23600,19
3,25065,19
4,26242,19
5,11013,19
6,12509,19
7,26441,19
8,24359,19
9,26630,19
0,24101,20
1,27392,20
2,22172,20
3,30738,20
4,24158,20
5,20415,20
6,28213,20
7,31170,20
8,29988,20
9,23906,20
0,17853,21
1,34225,21
2,18222,21
3,19735,21
4,36174,21
5,21294,21
6,15491,21
7,14577,21
8,22390,21
9,22161,21
0,26809,22
1,27409,22
2,26614,22
3,28182,22
4,27024,22
5,27096,22
6,27650,22
7,8049,22
8,26807,22
9,9078,22
0,17206,23
1,18795,23
2,11639,23
3,12538,23
4,19864,23
5,12079,23
6,17885,23
7,19727,23
8,15857,23
9,15201,23
0,29315,24
1,19546,24
2,27611,24
3,21848,24
4,22829,24
5,21080,24
6,28188,24
7,23664,24
8,24354,24
9,19993,24
0,14352,25
1,18407,25
2,7196,25
3,14353,25
4,17203,25
5,9796,25
6,12905,25
7,19210,25
8,16835,25
9,15675,25
0,17237,26
1,12619,26
2,15373,26
3,19576,26
4,15136,26
5,14606,26
6,20637,26
7,9526,26
8,18893,26
9,15954,26
0,9277,27
1,12978,27
2,8816,27
3,7723,27
4,17559,27
5,11918,27
6,12583,27
7,12287,27
8,7763,27
9,11450,27
0,6632,28
1,19163,28
2,9284,28
3,14020,28
4,9686,28
5,8994,28
6,11966,28
7,11992,28
8,23697,28
9,16884,28
0,13632,29
1,12252,29
2,12946,29
3,16311,29
4,16414,29
5,9701,29
6,7435,29
7,12913,29
8,10255,29
9,17664,29
0,23259,30
1,13275,30
2,26590,30
3,23674,30
4,25465,30
5,27735,30
6,15415,30
7,24080,30
8,26419,30
9,16753,30
0,26448,31
1,14677,31
2,24959,31
3,16852,31
4,23311,31
5,17297,31
6,16963,31
7,13892,31
8,12384,31
9,22630,31
0,34805,32
1,31611,32
2,46818,32
3,30457,32
4,32355,32
5,32489,32
6,46457,32
7,46671,32
8,32294,32
9,46726,32
0,21566,33
1,13129,33
2,19222,33
3,20259,33
4,14659,33
5,14501,33
6,21221,33
7,11745,33
8,22282,33
9,22405,33
0,26952,34
1,26049,34
2,25906,34
3,25294,34
4,26513,34
5,30343,34
6,11590,34
7,26508,34
8,14179,34
9,14736,34
0,28625,35
1,38654,35
2,26919,35
3,14703,35
4,29525,35
5,27920,35
6,15918,35
7,39304,35
8,27214,35
9,29299,35
0,21551,36
1,21236,36
2,19257,36
3,17694,36
4,19760,36
5,20953,36
6,12076,36
7,11103,36
8,21398,36
9,12752,36
0,12692,37
1,14150,37
2,8204,37
3,14279,37
4,9681,37
5,8153,37
6,10132,37
7,13527,37
8,11094,37
9,12269,37
0,16367,38
1,16450,38
2,12268,38
3,15050,38
4,11805,38
5,7465,38
6,15187,38
7,7656,38
8,15197,38
9,14577,38
0,19129,39
1,19546,39
2,27574,39
3,25727,39
4,25919,39
5,23968,39
6,19819,39
7,22710,39
8,20680,39
9,22171,39
0,11010,40
1,11518,40
2,22914,40
3,21006,40
4,26362,40
5,24282,40
6,20519,40
7,16003,40
8,13762,40
9,26387,40
0,14030,41
1,32798,41
2,24172,41
3,28858,41
4,24824,41
5,28169,41
6,25415,41
7,13923,41
8,28197,41
9,28604,41
0,17950,42
1,25086,42
2,30041,42
3,26000,42
4,26253,42
5,17560,42
6,19308,42
7,27026,42
8,18809,42
9,24684,42
0,30914,43
1,31797,43
2,30660,43
3,20016,43
4,30177,43
5,30371,43
6,31373,43
7,19567,43
8,18269,43
9,21522,43
0,16367,44
1,21641,44
2,14477,44
3,17391,44
4,17354,44
5,17275,44
6,16252,44
7,17664,44
8,20550,44
9,16187,44
0,18721,45
1,11781,45
2,17725,45
3,16982,45
4,17521,45
5,9965,45
6,15573,45
7,15008,45
8,15700,45
9,12870,45
0,16262,46
1,13194,46
2,13121,46
3,14643,46
4,8713,46
5,12738,46
6,19333,46
7,12525,46
8,11329,46
9,7205,46
0,15099,47
1,18696,47
2,17055,47
3,17505,47
4,20312,47
5,15668,47
6,17714,47
7,16622,47
8,11330,47
9,10214,47
0,18575,48
1,23334,48
2,22563,48
3,13226,48
4,12947,48
5,13588,48
6,23642,48
7,19970,48
8,19062,48
9,22006,48
0,17537,49
1,17960,49
2,13689,49
3,15846,49
4,15249,49
5,20090,49
6,16558,49
7,18551,49
8,18513,49
9,16034,49
0,17101,50
1,16132,50
2,15487,50
3,13953,50
4,18719,50
5,18592,50
6,11861,50
7,17234,50
8,16630,50
9,14745,50
0,17771,51
1,12985,51
2,21905,51
3,15312,51
4,18644,51
5,18801,51
6,14204,51
7,18684,51
8,19643,51
9,19490,51
0,19863,52
1,15821,52
2,24333,52
3,23027,52
4,25185,52
5,26499,52
6,19364,52
