count,latency,loop
0,11149,0
1,7829,0
2,11234,0
3,5948,0
4,7071,0
5,10359,0
6,7427,0
7,6179,0
8,10049,0
9,10527,0
0,4474,1
1,15261,1
2,5748,1
3,9797,1
4,8592,1
5,4341,1
6,5508,1
7,8843,1
8,17814,1
9,9694,1
0,7186,2
1,6294,2
2,10399,2
3,4659,2
4,8895,2
5,7541,2
6,5248,2
7,4686,2
8,7194,2
9,6465,2
0,2582,3
1,15308,3
2,4068,3
3,14636,3
4,12288,3
5,6193,3
6,5016,3
7,8366,3
8,9695,3
9,3252,3
0,8236,4
1,7540,4
2,8132,4
3,7772,4
4,11708,4
5,6736,4
6,9877,4
7,6882,4
8,9801,4
9,9689,4
0,12019,5
1,5553,5
2,3611,5
3,9473,5
4,4372,5
5,4471,5
6,8090,5
7,7374,5
8,5824,5
9,3187,5
0,3931,6
1,13224,6
2,18722,6
3,7416,6
4,8290,6
5,7794,6
6,6222,6
7,13036,6
8,8083,6
9,16999,6
0,4964,7
1,4714,7
2,4313,7
3,5398,7
4,6887,7
5,3932,7
6,9878,7
7,11258,7
8,7385,7
9,13413,7
0,2820,8
1,7690,8
2,9806,8
3,10120,8
4,23772,8
5,5673,8
6,13644,8
7,4230,8
8,13028,8
9,7387,8
0,9743,9
1,14425,9
2,12445,9
3,10286,9
4,10912,9
5,12167,9
6,12762,9
7,12653,9
8,12923,9
9,5857,9
0,4736,10
1,9078,10
2,6575,10
3,15549,10
4,9788,10
5,5497,10
6,9523,10
7,10277,10
8,6482,10
9,4999,10
0,8908,11
1,17503,11
2,10313,11
3,17579,11
4,13140,11
5,5652,11
6,5834,11
7,9689,11
8,8632,11
9,15448,11
0,10092,12
1,7199,12
2,8540,12
3,10644,12
4,9445,12
5,11873,12
6,12023,12
7,7995,12
8,8771,12
9,21430,12
0,17528,13
1,12599,13
2,10404,13
3,10876,13
4,5168,13
5,14872,13
6,10911,13
7,5612,13
8,4148,13
9,14530,13
0,5294,14
1,9884,14
2,2398,14
3,11423,14
4,8421,14
5,10831,14
6,11054,14
7,6997,14
8,12682,14
9,7691,14
0,15721,15
1,12153,15
2,13722,15
3,11571,15
4,8853,15
5,14197,15
6,13871,15
7,10634,15
8,15030,15
9,11244,15
0,12793,16
1,10192,16
2,9510,16
3,8207,16
4,5990,16
5,9024,16
6,5241,16
7,7313,16
8,13209,16
9,3546,16
0,5489,17
1,6294,17
2,3572,17
3,4665,17
4,6554,17
5,8863,17
6,7038,17
7,8290,17
8,7002,17
9,5567,17
0,17298,18
1,16168,18
2,23758,18
3,5335,18
4,21008,18
5,7636,18
6,10311,18
7,10414,18
8,9513,18
9,17081,18
0,6946,19
1,5437,19
2,5772,19
3,6447,19
4,9484,19
5,4640,19
6,2929,19
7,11435,19
8,6902,19
9,7662,19
0,5884,20
1,7131,20
2,13354,20
3,4841,20
4,9052,20
5,9944,20
6,6135,20
7,7446,20
8,10138,20
9,8609,20
0,8347,21
1,14224,21
2,13286,21
3,12887,21
4,10721,21
5,9596,21
6,5765,21
7,10309,21
8,8389,21
9,5566,21
0,4063,22
1,9110,22
2,7102,22
3,4068,22
4,6590,22
5,5795,22
6,6760,22
7,5362,22
8,4055,22
9,5291,22
0,9196,23
1,9704,23
2,6277,23
3,5577,23
4,6757,23
5,8451,23
6,12032,23
7,6158,23
8,10190,23
9,12150,23
0,4518,24
1,9645,24
2,5314,24
3,6258,24
4,12872,24
5,10486,24
6,8885,24
7,15600,24
8,5341,24
9,7455,24
0,2208,25
1,8553,25
2,6418,25
3,7262,25
4,17026,25
5,9856,25
6,8188,25
7,9326,25
8,7812,25
9,8199,25
0,14981,26
1,7118,26
2,6166,26
3,2785,26
4,15672,26
5,3240,26
6,11507,26
7,10924,26
8,3926,26
9,26217,26
0,8676,27
1,8965,27
2,7506,27
3,5351,27
4,18385,27
5,17319,27
6,10403,27
7,21365,27
8,9120,27
9,14253,27
0,9774,28
1,1956,28
2,4998,28
3,8072,28
4,7946,28
5,3163,28
6,8734,28
7,5712,28
8,7885,28
9,6292,28
0,3724,29
1,7391,29
2,5322,29
3,12591,29
4,5664,29
5,14677,29
6,6738,29
7,7734,29
8,4890,29
9,7276,29
0,10709,30
1,7313,30
2,9148,30
3,6038,30
4,13784,30
5,9096,30
6,6477,30
7,9755,30
8,16052,30
9,11570,30
0,6699,31
1,2046,31
2,4775,31
3,7062,31
4,5836,31
5,4089,31
6,4483,31
7,4883,31
8,3934,31
9,6227,31
0,9366,32
1,13533,32
2,7033,32
3,11079,32
4,4546,32
5,9986,32
6,4995,32
7,9569,32
8,7776,32
9,16607,32
0,10890,33
1,13089,33
2,12659,33
3,10005,33
4,9569,33
5,10367,33
6,12200,33
7,11580,33
8,10922,33
9,8930,33
0,8929,34
1,8849,34
2,7766,34
3,8066,34
4,4569,34
5,10709,34
6,9397,34
7,7632,34
8,7032,34
9,4813,34
