name,task,input,loop-number,count,time
wasm,light,92,11,1,1767
wasm,light,92,11,2,1261
wasm,light,92,11,3,1185
wasm,light,92,11,4,1096
wasm,light,92,11,5,946
wasm,light,92,11,6,670
wasm,light,92,11,7,687
wasm,light,92,11,8,1235
wasm,light,92,11,9,2457
wasm,light,92,11,10,773
wasm,light,92,12,1,1338
wasm,light,92,12,2,1240
wasm,light,92,12,3,1214
wasm,light,92,12,4,1227
wasm,light,92,12,5,1213
wasm,light,92,12,6,4049
wasm,light,92,12,7,949
wasm,light,92,12,8,1161
wasm,light,92,12,9,578
wasm,light,92,12,10,891
wasm,light,92,13,1,741
wasm,light,92,13,2,2984
wasm,light,92,13,3,3192
wasm,light,92,13,4,998
wasm,light,92,13,5,1282
wasm,light,92,13,6,1195
wasm,light,92,13,7,1244
wasm,light,92,13,8,1364
wasm,light,92,13,9,1522
wasm,light,92,13,10,1613
wasm,light,92,14,1,575
wasm,light,92,14,2,964
wasm,light,92,14,3,864
wasm,light,92,14,4,1806
wasm,light,92,14,5,3163
wasm,light,92,14,6,596
wasm,light,92,14,7,3198
wasm,light,92,14,8,3271
wasm,light,92,14,9,1435
wasm,light,92,14,10,1506
wasm,light,92,15,1,652
wasm,light,92,15,2,762
wasm,light,92,15,3,2425
wasm,light,92,15,4,3306
wasm,light,92,15,5,608
wasm,light,92,15,6,447
wasm,light,92,15,7,498
wasm,light,92,15,8,343
wasm,light,92,15,9,2906
wasm,light,92,15,10,726
wasm,light,92,16,1,935
wasm,light,92,16,2,698
wasm,light,92,16,3,635
wasm,light,92,16,4,620
wasm,light,92,16,5,1318
wasm,light,92,16,6,542
wasm,light,92,16,7,627
wasm,light,92,16,8,514
wasm,light,92,16,9,658
wasm,light,92,16,10,569
wasm,light,92,17,1,542
wasm,light,92,17,2,498
wasm,light,92,17,3,485
wasm,light,92,17,4,1475
wasm,light,92,17,5,884
wasm,light,92,17,6,877
wasm,light,92,17,7,1241
wasm,light,92,17,8,991
wasm,light,92,17,9,914
wasm,light,92,17,10,992
wasm,light,92,18,1,570
wasm,light,92,18,2,523
wasm,light,92,18,3,1474
wasm,light,92,18,4,885
wasm,light,92,18,5,504
wasm,light,92,18,6,563
wasm,light,92,18,7,464
wasm,light,92,18,8,471
wasm,light,92,18,9,1050
wasm,light,92,18,10,513
wasm,light,92,19,1,987
wasm,light,92,19,2,742
wasm,light,92,19,3,1530
wasm,light,92,19,4,1427
wasm,light,92,19,5,1554
wasm,light,92,19,6,1619
wasm,light,92,19,7,1461
wasm,light,92,19,8,1658
wasm,light,92,19,9,1610
wasm,light,92,19,10,1493
wasm,light,92,20,1,587
wasm,light,92,20,2,1135
wasm,light,92,20,3,1429
wasm,light,92,20,4,3369
wasm,light,92,20,5,1593
wasm,light,92,20,6,1361
wasm,light,92,20,7,1237
wasm,light,92,20,8,818
wasm,light,92,20,9,1489
wasm,light,92,20,10,1519
wasm,light,92,21,1,1007
wasm,light,92,21,2,589
wasm,light,92,21,3,683
wasm,light,92,21,4,818
wasm,light,92,21,5,891
wasm,light,92,21,6,838
wasm,light,92,21,7,918
wasm,light,92,21,8,904
wasm,light,92,21,9,963
wasm,light,92,21,10,983
wasm,light,92,22,1,566
wasm,light,92,22,2,518
wasm,light,92,22,3,427
wasm,light,92,22,4,571
wasm,light,92,22,5,469
wasm,light,92,22,6,511
wasm,light,92,22,7,455
wasm,light,92,22,8,758
wasm,light,92,22,9,535
wasm,light,92,22,10,588
wasm,light,92,23,1,1046
wasm,light,92,23,2,745
wasm,light,92,23,3,497
wasm,light,92,23,4,848
wasm,light,92,23,5,891
wasm,light,92,23,6,850
wasm,light,92,23,7,840
wasm,light,92,23,8,901
wasm,light,92,23,9,866
wasm,light,92,23,10,1528
wasm,light,92,24,1,883
wasm,light,92,24,2,739
wasm,light,92,24,3,869
wasm,light,92,24,4,1887
wasm,light,92,24,5,745
wasm,light,92,24,6,1310
wasm,light,92,24,7,948
wasm,light,92,24,8,823
wasm,light,92,24,9,984
wasm,light,92,24,10,1668
wasm,light,92,25,1,1011
wasm,light,92,25,2,431
wasm,light,92,25,3,600
wasm,light,92,25,4,617
wasm,light,92,25,5,724
wasm,light,92,25,6,785
wasm,light,92,25,7,786
wasm,light,92,25,8,835
wasm,light,92,25,9,792
wasm,light,92,25,10,817
wasm,light,92,26,1,693
wasm,light,92,26,2,917
wasm,light,92,26,3,503
wasm,light,92,26,4,487
wasm,light,92,26,5,518
wasm,light,92,26,6,517
wasm,light,92,26,7,2030
wasm,light,92,26,8,728
wasm,light,92,26,9,4101
wasm,light,92,26,10,3613
wasm,light,92,27,1,743
wasm,light,92,27,2,2065
wasm,light,92,27,3,2365
wasm,light,92,27,4,916
wasm,light,92,27,5,681
wasm,light,92,27,6,965
wasm,light,92,27,7,867
wasm,light,92,27,8,815
wasm,light,92,27,9,526
wasm,light,92,27,10,587
wasm,light,92,28,1,651
wasm,light,92,28,2,486
wasm,light,92,28,3,516
wasm,light,92,28,4,525
wasm,light,92,28,5,561
wasm,light,92,28,6,503
wasm,light,92,28,7,881
wasm,light,92,28,8,536
wasm,light,92,28,9,689
wasm,light,92,28,10,1196
wasm,light,92,29,1,857
wasm,light,92,29,2,1247
wasm,light,92,29,3,1446
wasm,light,92,29,4,1166
wasm,light,92,29,5,1473
wasm,light,92,29,6,1225
wasm,light,92,29,7,1139
wasm,light,92,29,8,2053
wasm,light,92,29,9,1255
wasm,light,92,29,10,1490
