name,task,input,loop-number,count,time
container,heavy,50000000,16,5,3118351
container,heavy,50000000,16,6,3118620
container,heavy,50000000,16,7,3145855
container,heavy,50000000,16,8,3125842
container,heavy,50000000,16,9,3130112
container,heavy,50000000,16,10,3146118
container,heavy,50000000,17,1,3309472
container,heavy,50000000,17,2,3164443
container,heavy,50000000,17,3,3095730
container,heavy,50000000,17,4,3130585
container,heavy,50000000,17,5,3125771
container,heavy,50000000,17,6,3117576
container,heavy,50000000,17,7,3130239
container,heavy,50000000,17,8,3124700
container,heavy,50000000,17,9,3145656
container,heavy,50000000,17,10,3116631
container,heavy,50000000,18,1,3360372
container,heavy,50000000,18,2,3126720
container,heavy,50000000,18,3,3134234
container,heavy,50000000,18,4,3130190
container,heavy,50000000,18,5,3156905
container,heavy,50000000,18,6,3129005
container,heavy,50000000,18,7,3114265
container,heavy,50000000,18,8,3131620
container,heavy,50000000,18,9,3129778
container,heavy,50000000,18,10,3127417
container,heavy,50000000,19,1,3353588
container,heavy,50000000,19,2,3145955
container,heavy,50000000,19,3,3159620
container,heavy,50000000,19,4,3122945
container,heavy,50000000,19,5,3137458
container,heavy,50000000,19,6,3139489
container,heavy,50000000,19,7,3130047
container,heavy,50000000,19,8,3127990
container,heavy,50000000,19,9,3127407
container,heavy,50000000,19,10,3096660
container,heavy,50000000,20,1,3303198
container,heavy,50000000,20,2,3099050
container,heavy,50000000,20,3,3105156
container,heavy,50000000,20,4,3130884
container,heavy,50000000,20,5,3131921
container,heavy,50000000,20,6,3135860
container,heavy,50000000,20,7,3112991
container,heavy,50000000,20,8,3986299
container,heavy,50000000,20,9,3140148
container,heavy,50000000,20,10,3144105
container,heavy,50000000,21,1,3340040
container,heavy,50000000,21,2,3103033
container,heavy,50000000,21,3,3121097
container,heavy,50000000,21,4,3126084
container,heavy,50000000,21,5,3138851
container,heavy,50000000,21,6,3126859
container,heavy,50000000,21,7,3115719
container,heavy,50000000,21,8,3115436
container,heavy,50000000,21,9,3120554
container,heavy,50000000,21,10,3121267
container,heavy,50000000,22,1,3311384
container,heavy,50000000,22,2,3139081
container,heavy,50000000,22,3,3113468
container,heavy,50000000,22,4,3111954
container,heavy,50000000,22,5,3111605
container,heavy,50000000,22,6,3108413
container,heavy,50000000,22,7,3108443
container,heavy,50000000,22,8,3088115
container,heavy,50000000,22,9,3105009
container,heavy,50000000,22,10,3114731
container,heavy,50000000,23,1,3331263
container,heavy,50000000,23,2,3147187
container,heavy,50000000,23,3,3125619
container,heavy,50000000,23,4,3163746
container,heavy,50000000,23,5,3125188
container,heavy,50000000,23,6,3130669
container,heavy,50000000,23,7,3102418
container,heavy,50000000,23,8,3110760
container,heavy,50000000,23,9,3122048
container,heavy,50000000,23,10,3126659
container,heavy,50000000,24,1,3339077
container,heavy,50000000,24,2,3116541
container,heavy,50000000,24,3,3112046
container,heavy,50000000,24,4,3141326
container,heavy,50000000,24,5,3110378
container,heavy,50000000,24,6,3093320
container,heavy,50000000,24,7,3109602
container,heavy,50000000,24,8,3120621
container,heavy,50000000,24,9,3130152
container,heavy,50000000,24,10,3159904
container,heavy,50000000,25,1,3386183
container,heavy,50000000,25,2,3144696
container,heavy,50000000,25,3,3124359
container,heavy,50000000,25,4,3118643
container,heavy,50000000,25,5,3109211
container,heavy,50000000,25,6,3127123
container,heavy,50000000,25,7,3135172
container,heavy,50000000,25,8,3116577
container,heavy,50000000,25,9,3106289
container,heavy,50000000,25,10,3103751
container,heavy,50000000,26,1,3364981
container,heavy,50000000,26,2,3130079
container,heavy,50000000,26,3,3129109
container,heavy,50000000,26,4,3102052
container,heavy,50000000,26,5,3117087
container,heavy,50000000,26,6,3131697
container,heavy,50000000,26,7,3128434
container,heavy,50000000,26,8,3133113
container,heavy,50000000,26,9,3130916
container,heavy,50000000,26,10,3124091
container,heavy,50000000,27,1,3339484
container,heavy,50000000,27,2,3131607
container,heavy,50000000,27,3,3147558
container,heavy,50000000,27,4,3130923
container,heavy,50000000,27,5,3130812
container,heavy,50000000,27,6,3135555
container,heavy,50000000,27,7,3121459
container,heavy,50000000,27,8,3124765
container,heavy,50000000,27,9,3123342
container,heavy,50000000,27,10,3137700
container,heavy,50000000,28,1,3366571
container,heavy,50000000,28,2,3107927
container,heavy,50000000,28,3,3083756
container,heavy,50000000,28,4,3142619
container,heavy,50000000,28,5,3119527
container,heavy,50000000,28,6,3106588
container,heavy,50000000,28,7,3109579
container,heavy,50000000,28,8,3133863
container,heavy,50000000,28,9,3119627
container,heavy,50000000,28,10,3107067
container,heavy,50000000,29,1,3344284
container,heavy,50000000,29,2,3120751
container,heavy,50000000,29,3,3136625
container,heavy,50000000,29,4,3097429
container,heavy,50000000,29,5,3114171
container,heavy,50000000,29,6,3121174
container,heavy,50000000,29,7,3112168
container,heavy,50000000,29,8,3133553
container,heavy,50000000,29,9,3132126
container,heavy,50000000,29,10,3103231
container,heavy,50000000,30,1,3335558
container,heavy,50000000,30,2,3131203
container,heavy,50000000,30,3,3125514
container,heavy,50000000,30,4,3132571
container,heavy,50000000,30,5,3126769
container,heavy,50000000,30,6,3145589
container,heavy,50000000,30,7,3129070
container,heavy,50000000,30,8,3128822
container,heavy,50000000,30,9,3975399
container,heavy,50000000,30,10,3127021
container,heavy,50000000,31,1,3361114
container,heavy,50000000,31,2,3130344
container,heavy,50000000,31,3,3104633
container,heavy,50000000,31,4,3126203
container,heavy,50000000,31,5,3132844
container,heavy,50000000,31,6,3128412
container,heavy,50000000,31,7,3114433
container,heavy,50000000,31,8,3110114
container,heavy,50000000,31,9,3125624
container,heavy,50000000,31,10,3137312
container,heavy,50000000,32,1,3356603
