task,wasm-diff,wasm-min-latency,container-diff,container-min-latency,proposed-diff,proposed-min-latency
light-92,-0.1642651296829971,504,3.2132345404851383,63032,0.4063271463838347,1012
heavy-500,0.632183908045977,2415,3.0419574417514506,54008,-0.10644954275629703,2379
heavy-5000,-0.03957789335117279,3302,2.686920915479982,60444,-0.18713622466311863,2668
heavy-50000,0.20728605260849653,8314,2.680665465484534,64755,0.05882352941176472,9961
heavy-500000,0.05183619649687188,68395,2.6251271681670696,91133,-0.02491495084486839,69363
heavy-5000000,-0.00022685595891758226,644502,0.6096340784691974,366991,0.5371133857213806,365244
heavy-50000000,0.0059352133475596425,6414503,0.05082681834730618,3090277,0.02866847242225834,3087576
